Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-07-10 10:24:20;"Trening 1";"Hanging Knee Raise";3;;;13;;;;0;;;1h 18m
2018-07-12 11:21:54;"Trening 2";"Deadlift (Barbell)";1;55;kg;5;;;;0;"";"";1h 15m
2018-07-12 11:21:54;"Trening 2";"Deadlift (Barbell)";2;50;kg;6;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Deadlift (Barbell)";3;45;kg;8;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Deadlift (Barbell)";4;40;kg;8;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bent Over Row (Barbell)";1;50;kg;5;;;;0;"";;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bent Over Row (Barbell)";2;45;kg;6;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bent Over Row (Barbell)";3;40;kg;8;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bent Over Row (Barbell)";4;40;kg;8;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Pull Up";1;0;kg;10;;;;0;"";;1h 15m
2018-07-12 11:21:54;"Trening 2";"Pull Up";2;0;kg;8;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Pull Up";3;0;kg;6;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Pull Up";4;0;kg;5;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bench Press (Dumbbell)";1;20;kg;10;;;;0;"";;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bench Press (Dumbbell)";2;20;kg;10;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bench Press (Dumbbell)";3;20;kg;10;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bicep Curl (Dumbbell)";1;10;kg;12;;;;0;"";;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bicep Curl (Dumbbell)";2;10;kg;6;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Bicep Curl (Dumbbell)";3;10;kg;6;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Plank";1;;;;;;km;60;"";;1h 15m
2018-07-12 11:21:54;"Trening 2";"Plank";2;;;;;;km;60;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Plank";3;;;;;;km;60;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Cable Crunch";1;40;kg;12;;;;0;"";;1h 15m
2018-07-12 11:21:54;"Trening 2";"Cable Crunch";2;40;kg;12;;;;0;;;1h 15m
2018-07-12 11:21:54;"Trening 2";"Cable Crunch";3;40;kg;12;;;;0;;;1h 15m
2018-07-14 12:54:03;"Trening 1";"Bench Press (Barbell)";1;72,5;kg;4;;;;0;"";"";1h 23m
2018-07-14 12:54:03;"Trening 1";"Bench Press (Barbell)";2;67,5;kg;6;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Bench Press (Barbell)";3;62,5;kg;8;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Bench Press (Barbell)";4;57,5;kg;8;;;;0;;;1h 23m
